,date,home_team,away_team,full_game_total,first_half_total,home_team_total,away_team_total
0,2024-11-08T18:00:00Z,North Carolina Central Eagles,Gardner-Webb Bulldogs,142.5,,,
1,2024-11-08T21:00:00Z,Stanford Cardinal,CSU Fullerton Titans,144.5,,,
2,2024-11-08T23:00:00Z,Duke Blue Devils,Army Knights,142.5,,,
3,2024-11-08T23:00:00Z,VCU Rams,Boston College Eagles,142.5,,,
4,2024-11-08T23:00:00Z,Cornell Big Red,Samford Bulldogs,165.5,,,
5,2024-11-08T23:00:00Z,Xavier Musketeers,IUPUI Jaguars,156.5,,,
6,2024-11-08T23:00:00Z,Penn State Nittany Lions,UMBC Retrievers,162.5,,,
7,2024-11-08T23:00:00Z,UMass Lowell River Hawks,Saint Peter's Peacocks,137.5,,,
8,2024-11-08T23:00:22Z,Temple Owls,Monmouth Hawks,148.5,,,
9,2024-11-08T23:30:00Z,Butler Bulldogs,Austin Peay Governors,147.5,,,
10,2024-11-09T00:00:00Z,Bowling Green Falcons,Davidson Wildcats,145.5,,,
11,2024-11-09T00:00:00Z,Bryant Bulldogs,Siena Saints,145.5,,,
12,2024-11-09T00:00:00Z,Saint Joseph's Hawks,Central Connecticut St Blue Devils,142.5,,,
13,2024-11-09T00:00:00Z,Charleston Cougars,South Florida Bulls,154.5,,,
14,2024-11-09T00:00:00Z,Cincinnati Bearcats,Morehead St Eagles,141.5,,,
15,2024-11-09T00:00:00Z,Clemson Tigers,St. Francis (PA) Red Flash,145.5,,,
16,2024-11-09T00:00:00Z,East Tennessee St Buccaneers,Eastern Kentucky Colonels,149.5,,,
17,2024-11-09T00:00:00Z,UCF Knights,Fort Wayne Mastodons,148.5,,,
18,2024-11-09T00:00:00Z,GW Revolutionaries,Hampton Pirates,150.5,,,
19,2024-11-09T00:00:00Z,UNC Wilmington Seahawks,Georgia Southern Eagles,150.5,,,
20,2024-11-09T00:00:00Z,Ole Miss Rebels,Grambling St Tigers,145.5,,,
21,2024-11-09T00:00:00Z,Green Bay Phoenix,St. Thomas (MN) Tommies,148.5,,,
22,2024-11-09T00:00:00Z,Hofstra Pride,Iona Gaels,145.5,,,
23,2024-11-09T00:00:00Z,Rhode Island Rams,Holy Cross Crusaders,149.5,,,
24,2024-11-09T00:00:00Z,West Virginia Mountaineers,Massachusetts Minutemen,153.5,,,
25,2024-11-09T00:00:00Z,Pittsburgh Panthers,Murray St Racers,146.5,,,
26,2024-11-09T00:00:00Z,NC State Wolfpack,Presbyterian Blue Hose,152.5,,,
27,2024-11-09T00:00:00Z,Purdue Boilermakers,Northern Kentucky Norse,147.5,,,
28,2024-11-09T00:00:00Z,Radford Highlanders,William & Mary Tribe,148.5,,,
29,2024-11-09T00:00:00Z,South Carolina Gamecocks,South Carolina St Bulldogs,142.5,,,
30,2024-11-09T00:00:00Z,Virginia Tech Hokies,South Carolina Upstate Spartans,149.5,,,
31,2024-11-09T00:30:00Z,Belmont Bruins,Furman Paladins,157.5,,,
32,2024-11-09T00:30:00Z,Mississippi St Bulldogs,Georgia St Panthers,149.5,,,
