,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Friday, November 13, 2015", Yale, Fairfield,35,26,70,57
0,"Friday, November 13, 2015", Central Michigan, Jacksonville St.,43,32,89,83
0,"Friday, November 13, 2015", Iowa St., Colorado,30,25,68,62
0,"Friday, November 13, 2015", Penn, Robert Morris,44,28,76,75
0,"Friday, November 13, 2015", Sacred Heart, Quinnipiac,25,30,76,64
0,"Friday, November 13, 2015", Wright St., South Dakota,30,32,77,69
0,"Friday, November 13, 2015", St. John's, Wagner,32,31,66,57
0,"Friday, November 13, 2015", Northern Illinois, Cal St. Northridge,46,40,83,71
0,"Friday, November 13, 2015", Northeastern, Boston University,37,40,87,84
0,"Friday, November 13, 2015", Cincinnati, Western Carolina,42,22,97,72
0,"Friday, November 13, 2015", Clemson, North Carolina Central,38,16,74,40
0,"Friday, November 13, 2015", College of Charleston, South Carolina St.,35,31,74,54
0,"Friday, November 13, 2015", Dayton, Southeast Missouri St.,46,16,84,53
0,"Friday, November 13, 2015", Duke, Siena,44,27,92,74
0,"Friday, November 13, 2015", Eastern Kentucky, Coppin St.,49,39,107,80
0,"Friday, November 13, 2015", Furman, Presbyterian,27,24,63,53
0,"Friday, November 13, 2015", Colgate, George Mason,22,20,66,53
0,"Friday, November 13, 2015", George Washington, Lafayette,50,28,85,76
0,"Friday, November 13, 2015", Chattanooga, Georgia,31,39,92,90
0,"Friday, November 13, 2015", Hofstra, Canisius,45,47,96,85
0,"Friday, November 13, 2015", Indiana, Eastern Illinois,49,17,88,49
0,"Friday, November 13, 2015", IUPUI, Indiana St.,32,38,72,70
0,"Friday, November 13, 2015", Kentucky, Albany,38,27,78,65
0,"Friday, November 13, 2015", Louisville, Samford,48,27,86,45
0,"Friday, November 13, 2015", Holy Cross, Marist,24,31,67,64
0,"Friday, November 13, 2015", Maryland, Mount St. Mary's,43,32,80,56
0,"Friday, November 13, 2015", Miami FL, UT Rio Grande Valley,28,20,86,59
