,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, February 26, 2020", Massachusetts, VCU,28,33,60,52
0,"Wednesday, February 26, 2020", Penn St., Rutgers,42,24,65,64
0,"Wednesday, February 26, 2020", Purdue Fort Wayne, Denver,31,14,58,51
0,"Wednesday, February 26, 2020", Siena, Quinnipiac,39,48,84,77
0,"Wednesday, February 26, 2020", Duquesne, St. Bonaventure,28,35,81,77
0,"Wednesday, February 26, 2020", Hartford, Stony Brook,26,38,65,54
0,"Wednesday, February 26, 2020", Mercer, The Citadel,21,38,73,57
0,"Wednesday, February 26, 2020", Binghamton, UMBC,36,34,76,74
0,"Wednesday, February 26, 2020", Chattanooga, VMI,20,37,71,64
0,"Wednesday, February 26, 2020", Virginia, Virginia Tech,11,26,56,53
0,"Wednesday, February 26, 2020", Western Carolina, Samford,53,33,109,78
0,"Wednesday, February 26, 2020", McNeese St., Southeastern Louisiana,49,28,104,82
0,"Wednesday, February 26, 2020", Stephen F. Austin, Northwestern St.,45,21,90,59
0,"Wednesday, February 26, 2020", Nicholls St., Houston Baptist,37,46,93,85
0,"Wednesday, February 26, 2020", Nebraska Omaha, North Dakota,37,31,84,83
0,"Wednesday, February 26, 2020", Abilene Christian, Sam Houston St.,39,27,85,69
0,"Wednesday, February 26, 2020", Marquette, Georgetown,43,32,93,72
0,"Wednesday, February 26, 2020", Notre Dame, Boston College,41,34,62,61
0,"Wednesday, February 26, 2020", Missouri, Vanderbilt,28,27,61,52
0,"Wednesday, February 26, 2020", UNLV, Boise St.,34,22,76,66
0,"Wednesday, February 26, 2020", Northern Iowa, Evansville,46,33,84,64
0,"Wednesday, February 26, 2020", Saint Louis, Saint Joseph's,31,25,76,63
0,"Thursday, February 27, 2020", Charleston, Delaware,28,31,80,71
0,"Thursday, February 27, 2020", Fairleigh Dickinson, Bryant,27,35,74,72
0,"Thursday, February 27, 2020", Florida Gulf Coast, Jacksonville,38,38,73,67
0,"Thursday, February 27, 2020", Radford, Hampton,29,38,81,78
0,"Thursday, February 27, 2020", UNC Asheville, High Point,32,39,80,76
0,"Thursday, February 27, 2020", Towson, Hofstra,35,43,76,65
0,"Thursday, February 27, 2020", LIU, Wagner,34,25,74,66
0,"Thursday, February 27, 2020", Wisconsin, Michigan,33,43,81,74
0,"Thursday, February 27, 2020", Niagara, Saint Peter's,26,26,63,54
0,"Thursday, February 27, 2020", Longwood, Presbyterian,26,31,58,55
0,"Thursday, February 27, 2020", Purdue, Indiana,29,20,57,49
0,"Thursday, February 27, 2020", St. Francis PA, Mount St. Mary's,37,32,75,62
0,"Thursday, February 27, 2020", Wichita St., Temple,36,37,72,69
0,"Thursday, February 27, 2020", Gardner Webb, Charleston Southern,37,38,83,74
0,"Thursday, February 27, 2020", Little Rock, Louisiana Monroe,39,27,79,63
0,"Thursday, February 27, 2020", Green Bay, Youngstown St.,43,38,102,92
0,"Thursday, February 27, 2020", Illinois Chicago, Detroit,38,35,84,67
0,"Thursday, February 27, 2020", Cleveland St., Milwaukee,42,35,70,68
0,"Thursday, February 27, 2020", Illinois, Northwestern,26,34,74,66
0,"Thursday, February 27, 2020", Eastern Illinois, Southeast Missouri St.,26,36,72,70
0,"Thursday, February 27, 2020", Oral Roberts, Western Illinois,63,33,113,70
0,"Thursday, February 27, 2020", Tennessee St., Jacksonville St.,30,13,65,55
0,"Thursday, February 27, 2020", California, Colorado,38,26,76,62
