,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Monday, November 6, 2023", Northeastern, Boston University,31,34,67,58
0,"Monday, November 6, 2023", Connecticut, Northern Arizona,47,30,95,52
0,"Monday, November 6, 2023", Charlotte, Maine,34,27,69,52
0,"Monday, November 6, 2023", Colgate, Brown,31,31,72,70
0,"Monday, November 6, 2023", George Mason, Monmouth,29,23,72,61
0,"Monday, November 6, 2023", Howard, Hampton,40,36,92,80
0,"Monday, November 6, 2023", Louisville, UMBC,40,48,94,93
0,"Monday, November 6, 2023", Miami FL, NJIT,52,32,101,60
0,"Monday, November 6, 2023", Pittsburgh, North Carolina A&T,50,15,100,52
0,"Monday, November 6, 2023", Providence, Columbia,42,27,78,59
0,"Monday, November 6, 2023", St. Bonaventure, Longwood,35,30,73,69
0,"Monday, November 6, 2023", McNeese St., VCU,29,41,76,65
0,"Monday, November 6, 2023", Virginia, Tarleton St.,43,19,80,50
0,"Monday, November 6, 2023", West Virginia, Missouri St.,24,30,67,59
0,"Monday, November 6, 2023", Manhattan, Bryant,33,35,61,59
0,"Monday, November 6, 2023", Fairleigh Dickinson, Buffalo,44,54,92,86
0,"Monday, November 6, 2023", Fordham, Wagner,23,31,68,64
0,"Monday, November 6, 2023", Seton Hall, Saint Peter's,26,27,70,59
0,"Monday, November 6, 2023", Vermont, Merrimack,36,20,67,55
0,"Monday, November 6, 2023", Villanova, American,41,31,90,63
0,"Monday, November 6, 2023", Arkansas, Alcorn St.,46,22,93,59
0,"Monday, November 6, 2023", Marist, Army,26,42,71,55
0,"Monday, November 6, 2023", Boston College, Fairfield,46,34,89,70
0,"Monday, November 6, 2023", Butler, Eastern Michigan,34,26,94,55
0,"Monday, November 6, 2023", Campbell, Navy,32,18,59,48
0,"Monday, November 6, 2023", Florida, Loyola MD,42,30,93,73
0,"Monday, November 6, 2023", Illinois, Eastern Illinois,37,25,80,52
0,"Monday, November 6, 2023", Kansas, North Carolina Central,59,18,99,56
0,"Monday, November 6, 2023", Kentucky, New Mexico St.,37,29,86,46
0,"Monday, November 6, 2023", Little Rock, Texas St.,38,34,71,66
0,"Monday, November 6, 2023", LSU, Mississippi Valley St.,56,29,106,60
0,"Monday, November 6, 2023", Memphis, Jackson St.,47,36,94,77
0,"Monday, November 6, 2023", Minnesota, Bethune Cookman,46,22,80,60
0,"Monday, November 6, 2023", Northwestern, Binghamton,36,39,72,61
0,"Monday, November 6, 2023", Texas A&M, Texas A&M Commerce,42,27,78,46
0,"Monday, November 6, 2023", Tulsa, Central Arkansas,33,27,70,53
0,"Monday, November 6, 2023", Bradley, UAB,24,40,73,71
0,"Monday, November 6, 2023", UT Arlington, Oral Roberts,31,36,75,71
0,"Monday, November 6, 2023", Virginia Tech, Coppin St.,45,19,100,55
0,"Monday, November 6, 2023", Wake Forest, Elon,43,55,101,78
0,"Monday, November 6, 2023", Xavier, Robert Morris,39,33,77,63
0,"Monday, November 6, 2023", Louisiana, Youngstown St.,35,31,72,62
0,"Monday, November 6, 2023", BYU, Houston Christian,56,18,110,63
0,"Monday, November 6, 2023", California, St. Thomas,35,34,71,66
0,"Monday, November 6, 2023", Cincinnati, Illinois Chicago,40,30,69,58
0,"Monday, November 6, 2023", Duke, Dartmouth,42,21,92,54
0,"Monday, November 6, 2023", Grand Canyon, Southeast Missouri St.,54,30,88,67
0,"Monday, November 6, 2023", TCU, Southern,54,35,108,75
0,"Monday, November 6, 2023", Portland St., Air Force,27,31,62,55
0,"Monday, November 6, 2023", Arizona, Morgan St.,61,26,122,59
0,"Monday, November 6, 2023", New Mexico, Texas Southern,41,24,92,55
0,"Monday, November 6, 2023", Utah, Eastern Washington,44,20,101,66
0,"Monday, November 6, 2023", Cal St. Bakersfield, Southern Utah,34,36,73,72
0,"Monday, November 6, 2023", USC, Kansas St.,30,40,82,69
0,"Monday, November 6, 2023", Sam Houston St., Pacific,25,25,64,57
0,"Monday, November 6, 2023", Portland, Long Beach St.,32,31,78,73
0,"Monday, November 6, 2023", San Diego St., Cal St. Fullerton,37,35,83,57
0,"Monday, November 6, 2023", UC San Diego, Denver,40,41,95,87
0,"Monday, November 6, 2023", Stanford, Cal St. Northridge,43,38,88,79
0,"Monday, November 6, 2023", Washington St., Idaho,41,28,84,59
0,"Monday, November 6, 2023", UCLA, Saint Francis,32,22,75,44
0,"Monday, November 6, 2023", Washington, Bellarmine,35,27,91,57
0,"Monday, November 6, 2023", Alabama, Morehead St.,55,35,105,73
