,date,home_team,away_team,full_game_total,home_team_total,away_team_total,home_spread,home_team_total_1h,home_moneyline,away_moneyline
0,2025-01-22T23:02:17Z,Holy Cross Crusaders,Army Knights,138.5,66.5,71.5,1.5,28.5,108.0,-138.0
1,2025-01-22T23:03:04Z,Houston Cougars,Utah Utes,130.5,79.5,51.5,-24.5,39.5,,
2,2025-01-22T23:05:00Z,VMI Keydets,Furman Paladins,146.5,70.5,75.5,5.5,,215.0,-290.0
3,2025-01-22T23:30:00Z,Youngstown St Penguins,Robert Morris Colonials,147.5,74.5,71.5,-3.5,,-210.0,162.0
4,2025-01-23T00:00:00Z,American Eagles,Lehigh Mountain Hawks,134.5,70.5,64.5,-6.5,,-290.0,225.0
5,2025-01-23T00:00:00Z,Navy Midshipmen,Boston Univ. Terriers,131.5,66.5,65.5,-1.5,,-128.0,104.0
6,2025-01-23T00:00:00Z,Charlotte 49ers,South Florida Bulls,144.5,71.5,73.5,2.5,33.5,108.0,-130.0
7,2025-01-23T00:00:00Z,Clemson Tigers,Syracuse Orange,141.5,78.5,61.5,-15.5,37.5,-2100.0,1000.0
8,2025-01-23T00:00:00Z,Cleveland St Vikings,Detroit Mercy Titans,137.5,75.5,61.5,-14.5,,-2500.0,1040.0
9,2025-01-23T00:00:00Z,Georgia Southern Eagles,Coastal Carolina Chanticleers,,,,,,,
10,2025-01-23T00:00:00Z,East Tennessee St Buccaneers,Western Carolina Catamounts,141.5,78.5,63.5,-14.5,,-2500.0,1040.0
11,2025-01-23T00:00:00Z,South Carolina Gamecocks,Florida Gators,146.5,67.5,78.5,11.5,31.5,480.0,-690.0
12,2025-01-23T00:00:00Z,Oakland Golden Grizzlies,Fort Wayne Mastodons,144.5,72.5,72.5,-1.5,,-112.0,-108.0
13,2025-01-23T00:00:00Z,Massachusetts Minutemen,GW Revolutionaries,154.5,78.5,77.5,-1.5,36.5,-122.0,102.0
14,2025-01-23T00:00:00Z,Gardner-Webb Bulldogs,UNC Asheville Bulldogs,160.5,81.5,79.5,-1.5,,-138.0,112.0
15,2025-01-23T00:00:00Z,Georgia Tech Yellow Jackets,Virginia Tech Hokies,141.5,72.5,69.5,-2.5,33.5,-152.0,126.0
16,2025-01-23T00:00:00Z,Green Bay Phoenix,IUPUI Jaguars,141.5,70.5,71.5,1.5,,112.0,-138.0
17,2025-01-23T00:00:00Z,South Carolina Upstate Spartans,High Point Panthers,161.5,72.5,88.5,14.5,,920.0,-2000.0
