home,away,Rk_home,Conf_home,AdjEM_home,AdjO_home,AdjO_Rk_home,AdjD_home,AdjD_Rk_home,AdjT_home,AdjT_Rk_home,Rk_away,Conf_away,AdjEM_away,AdjO_away,AdjO_Rk_away,AdjD_away,AdjD_Rk_away,AdjT_away,AdjT_Rk_away
Canisius,Western Michigan,339,MAAC,-15.48,97.8,303,113.2,353,68.9,287,332,MAC,-14.48,97.1,310,111.6,330,69.9,222
William & Mary,Georgia Southern,229,CAA,-4.97,104.1,175,109,285,73.4,34,174,SB,-1,103.2,193,104.2,158,75.6,4
New Mexico,St. John's,53,MWC,13.59,110,74,96.4,41,77.3,1,20,BE,20.78,114.5,33,93.7,15,72.5,70
Campbell,Navy,305,CAA,-11.17,98,297,109.2,287,68.1,324,259,PL,-7.67,101.4,230,109.1,286,69.9,221
Stonehill,Lindenwood,348,NEC,-16.35,90.7,362,107,232,70.7,174,356,OVC,-19.5,93.5,352,113,350,69.9,218
Princeton,Merrimack,91,Ivy,7.63,110.4,68,102.7,123,70.3,200,184,MAAC,-2,96.3,323,98.3,69,69.7,237
Saint Mary's,Nebraska,42,WCC,16.52,115.7,20,99.2,76,67.2,349,67,B10,11.81,107.2,121,95.4,29,72,92
Clemson,Boise St.,35,ACC,17.5,114.5,32,97,51,69,282,44,MWC,16.29,113.8,36,97.5,59,69.2,265
Jacksonville St.,Coastal Carolina,232,CUSA,-5.23,100.3,258,105.6,198,69.9,223,264,SB,-8.13,98.3,292,106.5,220,68.2,321
Harvard,Colorado,261,Ivy,-7.96,98.7,284,106.7,228,70.6,185,74,B12,10.56,107.9,108,97.4,57,69.8,229
Coppin St.,Miami FL,363,MEAC,-23.43,85.4,364,108.8,283,70.2,206,47,ACC,15.24,114.8,28,99.5,80,71.1,147
Manhattan,Fairleigh Dickinson,308,MAAC,-11.32,97,311,108.4,274,71.8,109,351,NEC,-17.66,96.2,325,113.9,358,74,20
North Carolina A&T,The Citadel,262,CAA,-8.05,99.9,268,108,261,73.2,40,311,SC,-11.53,95.8,333,107.4,246,69.2,272
Holy Cross,New Hampshire,306,PL,-11.18,102.1,210,113.3,354,68.3,318,357,AE,-19.65,92.9,355,112.5,345,70.7,175
North Carolina Central,Winthrop,281,MEAC,-8.82,100.7,249,109.5,293,69.3,259,167,BSth,-0.69,102.2,209,102.8,127,73.6,28
Austin Peay,Tennessee,212,ASun,-3.7,101.9,217,105.6,199,68.1,325,6,SEC,25.26,115.5,21,90.3,3,69.5,253
Chattanooga,Southeast Missouri,164,SC,-0.39,106.2,139,106.6,223,69.2,274,322,OVC,-13.26,96.5,321,109.8,301,72.2,85
Lipscomb,Western Kentucky,126,ASun,2.97,108.2,104,105.3,189,71.1,148,125,CUSA,2.99,103.8,180,100.8,93,75.1,9
Texas Southern,Samford,278,SWAC,-8.63,96.2,326,104.9,174,71.8,103,149,SC,1.09,107.2,122,106.1,212,76,2
Liberty,Charleston,93,CUSA,7.47,107.2,123,99.7,83,66.8,353,109,CAA,5.7,110,73,104.3,163,73.2,39
Montana St.,Denver,205,BSky,-3.33,103.8,183,107.1,236,69.9,220,309,Sum,-11.41,99,281,110.4,316,71.9,99
Utah,Mississippi St.,56,B12,13.15,111.4,57,98.2,67,72.1,87,27,SEC,19.34,114.8,30,95.4,30,71,152
New Orleans,Robert Morris,359,Slnd,-19.88,94.5,347,114.4,360,72,91,277,Horz,-8.63,97.6,306,106.2,215,69.6,242
UC Davis,Stanford,161,BW,-0.14,101.5,228,101.6,110,73.1,45,70,ACC,11.39,113.1,45,101.7,111,67.7,336
Sam Houston St.,Lamar,113,CUSA,4.69,108.3,101,103.6,144,72.2,84,276,Slnd,-8.63,101.3,237,109.9,302,71.7,112
Troy,Oregon,116,SB,4.33,101.9,215,97.6,60,71.8,101,36,B10,17.44,113.3,43,95.9,35,70.1,211
UC Santa Barbara,San Jose St.,115,BW,4.49,107.9,110,103.4,138,71.7,113,280,MWC,-8.78,99.6,272,108.4,275,68,327
Sacred Heart,Brown,327,MAAC,-13.62,99.7,270,113.4,355,71.3,136,266,Ivy,-8.18,100,266,108.2,268,69.3,260
Cal Poly,Eastern Washington,310,BW,-11.51,95.8,334,107.3,243,72.9,50,235,BSky,-5.32,105.4,154,110.8,320,72.4,77
St. Thomas,Arizona St.,173,Sum,-0.97,106.7,132,107.6,253,69.3,262,60,B12,12.91,109.5,84,96.6,45,71.1,149
Tarleton St.,Baylor,290,WAC,-9.63,97.7,304,107.3,242,70.7,173,16,B12,21.54,118.8,6,97.3,56,68.7,298
California,USC,138,ACC,2.09,105.1,158,103,132,72.9,52,63,B10,12.21,112.4,48,100.2,88,72.2,82
Weber St.,Hawaii,239,BSky,-5.65,101.5,227,107.2,239,68.6,303,178,BW,-1.47,103.9,178,105.3,194,68.5,309
UMass Lowell,Washington,135,AE,2.32,107.1,124,104.8,172,73.9,23,77,B10,9.61,105.7,147,96.1,37,72.5,67
