Game,date
"9 Gonzaga 101, 11 Baylor 63 [70]MVP: Nolan Hickman (17p/6r/1a/2s)",11/4/24
"30 Ohio St. 80, 18 Texas 72 [71]MVP: Tre Johnson (29p/5r/4a/1b/2s)",11/4/24
"66 UCF 64, 16 Texas A&M 61 [67]MVP: Darius Johnson (24p/3r/5a/3s)",11/4/24
"42 Memphis 83, 52 Missouri 75 [74]MVP: PJ Haggerty (25p/6r/5a/1s)",11/4/24
"94 Santa Clara 85, 105 Saint Louis 78 [73]MVP: Adama-Alpha Bal (24p/4r/2a/2s)",11/4/24
"96 Vermont 67, 81 UAB 62 [63]MVP: Yaxel Lendeborg (22p/15r/5b/2s)",11/4/24
"101 Wichita St. 91, 132 Western Kentucky 84 [83]MVP: Justin Hill (31p/8r/6a/3s)",11/4/24
"26 Florida 98, 102 South Florida 83 [77]MVP: Walter Clayton (29p/4r/3a/2b/1s)",11/4/24
"138 Charleston 90, 145 Southern Illinois 80 [78]MVP: Ante Brzovic (27p/9r/4a/2b/1s)",11/4/24
"123 Arkansas St. 80, 130 Akron 75 (OT) [83]MVP: Joseph Pinion (16p/3r/1b/1s)",11/4/24
"168 James Madison 88, 118 Ohio 78 [71]MVP: Xavier Brown (23p/6r/2a/3s)",11/4/24
"137 Lipscomb 77, 142 Duquesne 72 [75]MVP: Jacob Ognacevic (30p/10r/1s)",11/4/24
"104 Florida Atlantic 97, 157 Indiana St. 64 [83]MVP: Niccolo Moretti (19p/5r/4a)",11/4/24
"136 Kent St. 70, 152 Louisiana 66 [67]MVP: VonCameron Davis (17p/3r/2a/1b/1s)",11/4/24
"181 South Dakota St. 80, 103 McNeese 73 [74]MVP: Oscar Cluff (14p/14r/2a/1b/1s)",11/4/24
"73 Nevada 91, 114 Sam Houston St. 75 [69]MVP: Nick Davidson (26p/10r/3a/2b/2s)",11/4/24
"126 Troy 84, 177 Toledo 74 [75]MVP: Sonny Wilson (17p/5r/5a/1s)",11/4/24
"210 Northeastern 80, 233 Boston University 72 [65]MVP: LA Pratt (24p/3r/1a/2s)",11/4/24
"182 UNC Greensboro 73, 207 Florida Gulf Coast 64 [65]MVP: Donovan Atwell (17p/3r/2a/1s)",11/4/24
