,season,team,conference,seed,round,tempo_adj,tempo_adj_rank,tempo_raw,tempo_raw_rank,avg_poss_length_offense,avg_poss_length_offense_rank,avg_poss_length_defense,avg_poss_length_defense_rank,off_efficiency_adj,off_efficiency_adj_rank,off_efficiency_raw,off_efficiency_raw_rank,def_efficiency_adj,def_efficiency_adj_rank,def_efficiency_raw,def_efficiency_raw_rank,3_p_%_d,3_p_%_rank_d,2_p_%_d,2_p_%_rank_d,ft_%_d,ft_%_rank_d,blk_%_d,blk_%_rank_d,stl_%_d,stl_%_rank_d,a_%_d,a_%_rank_d,3_pa_%_d,3_pa_%_rank_d,adj_de_d,adj_de_rank_d,3_p_%,3_p_%_rank,2_p_%,2_p_%_rank,ft_%,ft_%_rank,blk_%,blk_%_rank,stl_%,stl_%_rank,a_%,a_%_rank,3_pa_%,3_pa_%_rank,adj_oe_x,adj_oe_rank_x,adj_tempo,adj_tempo_rank,off_e_fg_%,off_e_fg_%_rank,off_to_%,off_to_%_rank,off_or_%,off_or_%_rank,off_ft_rate,off_ft_rate_rank,adj_de,adj_de_rank,def_e_fg_%,def_e_fg_%_rank,def_to_%,def_to_%_rank,def_or_%,def_or_%_rank,def_ft_rate,def_ft_rate_rank,avg_hgt,avg_hgt_rank,eff_hgt,eff_hgt_rank,c_hgt,c_hgt_rank,pf_hgt,pf_hgt_rank,sf_hgt,sf_hgt_rank,sg_hgt,sg_hgt_rank,pg_hgt,pg_hgt_rank,experience,experience_rank,bench,bench_rank,continuity,continuity_rank,off_ft,off_ft_rank,off_2_p,off_2_p_rank,off_3_p,off_3_p_rank,def_ft,def_ft_rank,def_2_p,def_2_p_rank,def_3_p,def_3_p_rank,labels,proj_round,proj_round_team
4902,2023,Houston,4,1.0,,63.3,343.0,64.8,327.0,19.0,324.0,17.9,248.0,118.4,11.0,116.0,4.0,89.6,4.0,87.4,1.0,27.8,2.0,43.1,4.0,69.0,47.0,16.4,1.0,12.8,13.0,9.2,147.0,53.6,252.0,43.7,342.0,34.5,154.0,53.2,61.0,71.9,175.0,6.6,22.0,8.4,78.0,6.9,18.0,53.8,98.0,37.8,168.0,63.3,343.0,52.7,70.0,15.3,27.0,37.1,4.0,28.5,274.0,89.6,4.0,42.5,3.0,22.0,22.0,27.4,128.0,35.8,286.0,76.7,232.0,-0.6,248.0,-1.3,305.0,0.1,155.0,-0.1,197.0,-0.7,276.0,0.3,160.0,1.54,259.0,27.5,261.0,39.5,203.0,16.3,298.0,52.7,113.0,31.0,174.0,22.5,26.0,44.2,345.0,33.3,93.0,16,33.0,15.357412724755521
4708,2023,Creighton,7,6.0,,68.0,149.0,69.4,104.0,17.3,131.0,17.1,67.0,114.6,28.0,109.6,47.0,94.0,15.0,97.6,61.0,34.1,193.0,45.6,21.0,72.9,254.0,9.5,130.0,7.5,311.0,6.8,358.0,47.1,85.0,29.8,9.0,36.0,77.0,54.5,30.0,76.7,30.0,8.3,137.0,8.8,133.0,7.8,66.0,57.8,31.0,42.0,62.0,68.0,149.0,54.3,27.0,16.6,68.0,25.5,271.0,28.1,289.0,94.0,15.0,47.3,42.0,14.3,356.0,23.3,13.0,19.8,2.0,77.9,61.0,1.7,21.0,2.9,6.0,0.5,110.0,1.3,42.0,0.2,156.0,-0.8,270.0,2.03,160.0,20.5,349.0,53.9,82.0,16.6,285.0,48.6,260.0,34.9,66.0,13.2,359.0,58.8,7.0,28.0,279.0,12,43.58139534883721,24.296128455751628
4563,2023,Alabama,27,1.0,,72.7,4.0,72.8,12.0,15.2,5.0,17.7,209.0,116.1,19.0,110.9,32.0,88.6,3.0,91.8,5.0,28.1,3.0,41.2,1.0,71.4,163.0,11.3,61.0,8.2,263.0,7.8,305.0,41.8,15.0,30.6,18.0,33.8,186.0,54.6,29.0,72.6,147.0,11.4,339.0,9.8,251.0,9.1,202.0,54.8,78.0,47.8,8.0,72.7,4.0,52.7,67.0,19.0,241.0,33.8,30.0,36.7,50.0,88.6,3.0,41.5,1.0,15.9,305.0,27.5,138.0,32.8,225.0,78.1,46.0,2.0,11.0,1.8,29.0,2.2,8.0,1.5,26.0,-0.4,252.0,0.1,176.0,1.53,261.0,35.9,56.0,25.8,280.0,20.2,69.0,43.1,353.0,36.7,32.0,22.0,37.0,53.8,77.0,24.2,353.0,19,28.29268292682927,30.118473118857192
4701,2023,Indiana,5,4.0,,68.1,142.0,68.5,158.0,16.4,47.0,18.7,354.0,114.7,27.0,108.9,60.0,97.3,43.0,99.7,91.0,33.2,130.0,45.7,23.0,70.5,114.0,13.6,14.0,8.4,243.0,7.9,294.0,48.1,104.0,38.2,216.0,37.0,34.0,53.2,62.0,71.2,207.0,7.3,54.0,9.6,225.0,7.4,33.0,54.2,86.0,26.3,355.0,68.1,142.0,53.8,35.0,16.9,87.0,28.0,202.0,30.1,221.0,97.3,43.0,47.3,41.0,16.3,296.0,27.8,153.0,30.6,166.0,78.6,20.0,0.3,128.0,-0.3,192.0,0.9,70.0,1.4,34.0,2.4,8.0,3.0,8.0,2.5,67.0,29.6,212.0,60.1,41.0,16.6,283.0,60.7,6.0,22.7,347.0,18.6,152.0,48.6,259.0,32.8,105.0,1,30.50980392156863,31.670646962476408
4881,2023,Purdue,5,1.0,,64.4,322.0,64.2,339.0,19.2,334.0,18.1,299.0,119.4,7.0,113.4,11.0,94.8,26.0,97.5,56.0,31.4,46.0,47.3,60.0,73.6,285.0,9.7,121.0,7.4,315.0,8.0,282.0,51.5,196.0,35.4,122.0,32.6,255.0,54.1,35.0,74.3,84.0,8.6,166.0,9.3,188.0,7.7,52.0,60.9,14.0,38.1,153.0,64.4,322.0,52.2,90.0,17.0,89.0,38.3,3.0,37.2,39.0,94.8,26.0,47.2,39.0,15.5,329.0,23.3,14.0,19.3,1.0,78.6,21.0,3.4,1.0,5.4,2.0,1.4,28.0,0.8,78.0,0.5,123.0,-0.7,257.0,1.43,284.0,31.7,155.0,37.1,228.0,21.0,45.0,50.8,186.0,28.2,268.0,13.1,361.0,56.3,26.0,30.7,186.0,12,43.58139534883721,34.08917611886995
4885,2023,Iowa St.,6,6.0,,64.3,326.0,65.8,290.0,18.8,305.0,17.6,169.0,109.9,96.0,103.1,174.0,91.6,8.0,94.9,21.0,33.8,160.0,49.6,157.0,71.9,191.0,11.2,69.0,13.3,9.0,11.8,8.0,57.5,320.0,46.8,355.0,33.9,179.0,50.7,165.0,67.4,316.0,7.7,80.0,10.3,302.0,9.5,241.0,54.9,77.0,33.8,284.0,64.3,326.0,50.7,178.0,19.8,284.0,33.9,27.0,27.8,297.0,91.6,8.0,50.1,152.0,25.1,2.0,26.6,91.0,40.0,338.0,77.3,147.0,0.5,107.0,0.6,106.0,0.3,131.0,-1.0,304.0,0.4,134.0,0.6,122.0,3.34,6.0,31.1,178.0,41.9,186.0,15.6,323.0,55.8,41.0,28.6,255.0,22.3,32.0,40.9,360.0,36.8,26.0,16,33.0,34.29305618205461
4576,2023,Memphis,4,8.0,,71.8,17.0,72.6,16.0,15.8,17.0,17.2,86.0,114.7,26.0,108.5,66.0,96.0,35.0,97.7,62.0,30.8,28.0,47.2,56.0,73.9,293.0,13.2,20.0,11.8,28.0,9.1,157.0,55.7,290.0,42.9,333.0,35.6,99.0,53.1,66.0,74.7,67.0,9.6,255.0,10.1,277.0,8.3,119.0,54.6,81.0,28.8,344.0,71.8,17.0,53.2,51.0,18.4,207.0,31.0,98.0,35.9,60.0,96.0,35.0,46.8,28.0,20.9,49.0,32.3,322.0,34.9,270.0,76.8,220.0,0.1,165.0,-0.0,171.0,0.1,151.0,-0.0,170.0,-0.4,245.0,-0.9,278.0,3.16,11.0,36.7,46.0,28.8,264.0,20.1,75.0,56.8,28.0,23.1,342.0,21.6,43.0,45.1,339.0,33.2,95.0,13,47.54545454545455,34.41275737031415
4630,2023,Illinois,5,9.0,,69.4,71.0,69.3,111.0,17.0,104.0,17.6,176.0,112.2,58.0,106.3,104.0,95.7,32.0,96.0,36.0,33.6,145.0,45.3,16.0,70.2,99.0,14.0,7.0,9.8,128.0,8.9,179.0,44.7,41.0,30.9,22.0,30.9,331.0,55.3,17.0,68.0,307.0,8.1,109.0,9.6,231.0,8.6,152.0,46.7,284.0,41.9,65.0,69.4,71.0,51.6,120.0,18.2,189.0,32.3,61.0,33.8,99.0,95.7,32.0,46.9,29.0,18.6,136.0,26.8,104.0,29.6,138.0,78.7,15.0,1.3,38.0,0.6,112.0,2.0,11.0,1.6,23.0,2.3,10.0,1.6,43.0,1.35,293.0,31.6,161.0,14.5,342.0,18.3,183.0,51.0,173.0,30.8,182.0,18.2,186.0,54.7,55.0,27.2,306.0,11,46.94736842105263,34.548442846455046
4699,2023,USC,23,10.0,,68.1,140.0,68.6,155.0,16.9,86.0,18.2,318.0,113.1,43.0,105.6,122.0,97.5,48.0,97.7,63.0,33.4,137.0,42.4,2.0,71.9,189.0,13.7,12.0,10.2,95.0,7.8,303.0,56.3,303.0,37.4,186.0,34.5,152.0,51.2,133.0,74.4,83.0,7.8,89.0,9.9,260.0,8.3,113.0,51.7,143.0,32.9,300.0,68.1,140.0,51.4,135.0,18.1,174.0,29.0,162.0,33.8,100.0,97.5,48.0,45.2,9.0,18.0,176.0,32.6,328.0,29.8,142.0,79.0,5.0,1.7,16.0,1.5,43.0,1.9,13.0,1.6,24.0,2.1,13.0,2.4,18.0,2.13,140.0,26.1,289.0,46.9,146.0,19.7,97.0,53.7,91.0,26.7,303.0,19.1,127.0,47.4,299.0,33.5,87.0,3,33.4,34.72402495661264
4789,2023,UCLA,23,2.0,,66.3,230.0,67.3,213.0,17.8,201.0,17.9,253.0,114.9,25.0,109.7,44.0,87.2,1.0,89.6,3.0,31.1,34.0,46.8,45.0,69.7,78.0,11.9,50.0,12.5,16.0,11.1,19.0,51.3,192.0,39.3,252.0,34.7,143.0,50.4,181.0,72.2,162.0,6.3,15.0,6.9,3.0,8.3,115.0,50.9,167.0,29.1,339.0,66.3,230.0,50.9,170.0,15.2,26.0,33.6,33.0,27.1,316.0,87.2,1.0,46.8,27.0,23.6,11.0,27.6,142.0,27.6,77.0,77.0,197.0,0.2,144.0,0.7,102.0,-0.3,226.0,-0.1,172.0,0.5,122.0,-1.4,309.0,2.28,107.0,27.7,251.0,46.7,151.0,16.2,304.0,58.9,17.0,25.0,328.0,17.1,241.0,50.4,203.0,32.5,114.0,16,33.0,35.00127848955839
